Team1,Team2,Date
100 Thieves,Cloud9,2021-02-28 22:00:00
100 Thieves,Evil Geniuses.NA,2021-03-06 02:00:00
100 Thieves,FlyQuest,2021-02-12 23:00:00
100 Thieves,Golden Guardians,2021-02-21 23:00:00
100 Thieves,Immortals,2021-03-13 00:00:00
100 Thieves,Team Liquid,2021-03-14 23:00:00
100 Thieves,TSM,2021-03-06 22:00:00
Cloud9,100 Thieves,2021-02-13 22:00:00
Cloud9,Counter Logic Gaming,2021-03-12 23:00:00
Cloud9,Dignitas,2021-02-20 21:00:00
Cloud9,Evil Geniuses.NA,2021-02-27 22:00:00
Cloud9,FlyQuest,2021-02-15 00:00:00
Cloud9,Golden Guardians,2021-02-26 23:00:00
Cloud9,Team Liquid,2021-03-07 00:00:00
Counter Logic Gaming,100 Thieves,2021-02-27 02:00:00
Counter Logic Gaming,Cloud9,2021-02-19 23:00:00
Counter Logic Gaming,Evil Geniuses.NA,2021-03-14 22:00:00
Counter Logic Gaming,FlyQuest,2021-03-07 01:00:00
Counter Logic Gaming,Golden Guardians,2021-03-14 01:00:00
Counter Logic Gaming,Immortals,2021-02-20 22:00:00
Counter Logic Gaming,Team Liquid,2021-02-13 00:00:00
Dignitas,100 Thieves,2021-02-27 23:00:00
Dignitas,Cloud9,2021-03-13 21:00:00
Dignitas,Counter Logic Gaming,2021-03-01 01:00:00
Dignitas,Evil Geniuses.NA,2021-03-08 01:00:00
Dignitas,FlyQuest,2021-02-20 00:00:00
Dignitas,Golden Guardians,2021-03-06 21:00:00
Dignitas,Immortals,2021-02-13 03:00:00
Dignitas,TSM,2021-02-21 21:00:00
Evil Geniuses.NA,Cloud9,2021-02-13 01:00:00
Evil Geniuses.NA,Counter Logic Gaming,2021-02-22 01:00:00
Evil Geniuses.NA,Dignitas,2021-02-14 23:00:00
Evil Geniuses.NA,FlyQuest,2021-02-27 01:00:00
Evil Geniuses.NA,Immortals,2021-03-06 23:00:00
Evil Geniuses.NA,Team Liquid,2021-03-14 00:00:00
Evil Geniuses.NA,TSM,2021-03-13 01:00:00
FlyQuest,100 Thieves,2021-03-13 23:00:00
FlyQuest,Cloud9,2021-03-06 01:00:00
FlyQuest,Counter Logic Gaming,2021-02-13 21:00:00
FlyQuest,Dignitas,2021-03-15 00:00:00
FlyQuest,Golden Guardians,2021-02-21 01:00:00
FlyQuest,Immortals,2021-03-07 22:00:00
FlyQuest,TSM,2021-02-28 21:00:00
Golden Guardians,100 Thieves,2021-03-07 21:00:00
Golden Guardians,Counter Logic Gaming,2021-02-15 01:00:00
Golden Guardians,Dignitas,2021-02-13 23:00:00
Golden Guardians,Evil Geniuses.NA,2021-03-01 00:00:00
Golden Guardians,FlyQuest,2021-03-13 03:00:00
Golden Guardians,Immortals,2021-02-28 01:00:00
Golden Guardians,Team Liquid,2021-02-20 01:00:00
Golden Guardians,TSM,2021-03-14 21:00:00
Immortals,100 Thieves,2021-02-20 03:00:00
Immortals,Cloud9,2021-03-14 20:00:00
Immortals,Counter Logic Gaming,2021-03-06 03:00:00
Immortals,Dignitas,2021-02-27 03:00:00
Immortals,Evil Geniuses.NA,2021-02-14 01:00:00
Immortals,FlyQuest,2021-02-21 22:00:00
Immortals,Team Liquid,2021-02-28 23:00:00
Immortals,TSM,2021-02-14 22:00:00
Team Liquid,100 Thieves,2021-02-14 21:00:00
Team Liquid,Cloud9,2021-02-22 00:00:00
Team Liquid,Counter Logic Gaming,2021-03-08 00:00:00
Team Liquid,Dignitas,2021-03-13 02:00:00
Team Liquid,Evil Geniuses.NA,2021-02-21 00:00:00
Team Liquid,FlyQuest,2021-02-27 21:00:00
Team Liquid,Golden Guardians,2021-03-06 00:00:00
Team Liquid,TSM,2021-02-27 00:00:00
TSM,100 Thieves,2021-02-20 23:00:00
TSM,Cloud9,2021-03-07 23:00:00
TSM,Counter Logic Gaming,2021-02-28 00:00:00
TSM,Dignitas,2021-03-05 23:00:00
TSM,Evil Geniuses.NA,2021-02-20 02:00:00
TSM,Golden Guardians,2021-02-13 02:00:00
TSM,Immortals,2021-03-13 22:00:00
TSM,Team Liquid,2021-02-14 00:00:00
Astralis,SK Gaming,2021-03-12 18:00:00
Astralis,Team Vitality,2021-03-14 16:00:00
Excel Esports,Astralis,2021-02-20 18:00:00
Excel Esports,G2 Esports,2021-03-14 20:00:00
Excel Esports,SK Gaming,2021-02-27 16:00:00
FC Schalke 04 Esports,Astralis,2021-02-12 17:00:00
FC Schalke 04 Esports,Astralis,2021-03-06 17:00:00
FC Schalke 04 Esports,Excel Esports,2021-03-13 16:00:00
FC Schalke 04 Esports,G2 Esports,2021-02-20 19:00:00
FC Schalke 04 Esports,MAD Lions,2021-02-13 18:00:00
FC Schalke 04 Esports,MAD Lions,2021-03-05 18:00:00
FC Schalke 04 Esports,Misfits Gaming,2021-02-27 17:00:00
FC Schalke 04 Esports,Rogue (European Team),2021-02-26 17:00:00
FC Schalke 04 Esports,SK Gaming,2021-02-19 17:00:00
Fnatic,Astralis,2021-02-26 21:00:00
Fnatic,Excel Esports,2021-02-13 19:00:00
Fnatic,Excel Esports,2021-03-05 20:00:00
Fnatic,FC Schalke 04 Esports,2021-03-14 19:00:00
Fnatic,MAD Lions,2021-02-20 20:00:00
Fnatic,Rogue (European Team),2021-03-13 20:00:00
Fnatic,SK Gaming,2021-02-12 21:00:00
Fnatic,SK Gaming,2021-03-06 18:00:00
G2 Esports,Astralis,2021-02-19 21:00:00
G2 Esports,Fnatic,2021-02-27 20:00:00
G2 Esports,MAD Lions,2021-03-12 17:00:00
G2 Esports,Rogue (European Team),2021-02-13 20:00:00
G2 Esports,Rogue (European Team),2021-03-05 21:00:00
G2 Esports,SK Gaming,2021-03-13 19:00:00
MAD Lions,Astralis,2021-03-13 18:00:00
MAD Lions,Excel Esports,2021-02-19 18:00:00
MAD Lions,Rogue (European Team),2021-02-12 20:00:00
MAD Lions,Rogue (European Team),2021-03-06 19:00:00
MAD Lions,SK Gaming,2021-02-26 20:00:00
Misfits Gaming,Astralis,2021-02-13 17:00:00
Misfits Gaming,Astralis,2021-03-05 19:00:00
Misfits Gaming,Excel Esports,2021-02-26 18:00:00
Misfits Gaming,Fnatic,2021-03-12 21:00:00
Misfits Gaming,G2 Esports,2021-02-12 19:00:00
Misfits Gaming,G2 Esports,2021-03-06 20:00:00
Misfits Gaming,MAD Lions,2021-03-14 18:00:00
Misfits Gaming,Rogue (European Team),2021-02-19 19:00:00
Misfits Gaming,SK Gaming,2021-02-20 16:00:00
Rogue (European Team),Astralis,2021-02-27 19:00:00
Rogue (European Team),Excel Esports,2021-03-12 19:00:00
Rogue (European Team),SK Gaming,2021-03-14 17:00:00
Team Vitality,Excel Esports,2021-02-12 18:00:00
Team Vitality,Excel Esports,2021-03-06 16:00:00
Team Vitality,FC Schalke 04 Esports,2021-03-12 20:00:00
Team Vitality,Fnatic,2021-02-19 20:00:00
Team Vitality,G2 Esports,2021-02-26 19:00:00
Team Vitality,MAD Lions,2021-02-27 18:00:00
Team Vitality,Misfits Gaming,2021-03-13 17:00:00
Team Vitality,Rogue (European Team),2021-02-20 17:00:00
Team Vitality,SK Gaming,2021-02-13 16:00:00
Team Vitality,SK Gaming,2021-03-05 17:00:00
Cruzeiro eSports,FURIA Esports,2021-03-07 18:00:00
Cruzeiro eSports,INTZ,2021-02-14 16:00:00
Cruzeiro eSports,KaBuM! e-Sports,2021-03-14 17:00:00
Cruzeiro eSports,Rensga Esports,2021-02-28 18:00:00
Flamengo Esports,Cruzeiro eSports,2021-02-27 20:00:00
Flamengo Esports,FURIA Esports,2021-03-14 16:00:00
Flamengo Esports,KaBuM! e-Sports,2021-02-20 20:00:00
Flamengo Esports,Rensga Esports,2021-03-07 17:00:00
FURIA Esports,Flamengo Esports,2021-02-13 20:00:00
FURIA Esports,INTZ,2021-03-06 18:00:00
FURIA Esports,paiN Gaming,2021-02-21 16:00:00
FURIA Esports,RED Canids,2021-03-13 18:00:00
FURIA Esports,Rensga Esports,2021-02-14 19:00:00
FURIA Esports,Vorax,2021-02-27 18:00:00
INTZ,Flamengo Esports,2021-02-21 20:00:00
INTZ,LOUD,2021-02-28 20:00:00
INTZ,paiN Gaming,2021-03-14 20:00:00
INTZ,RED Canids,2021-02-20 17:00:00
INTZ,Vorax,2021-03-07 16:00:00
KaBuM! e-Sports,Cruzeiro eSports,2021-02-13 17:00:00
KaBuM! e-Sports,FURIA Esports,2021-02-28 17:00:00
KaBuM! e-Sports,INTZ,2021-03-13 16:00:00
KaBuM! e-Sports,paiN Gaming,2021-03-07 19:00:00
KaBuM! e-Sports,Rensga Esports,2021-02-21 18:00:00
LOUD,Cruzeiro eSports,2021-03-06 16:00:00
LOUD,Flamengo Esports,2021-03-13 19:00:00
LOUD,FURIA Esports,2021-02-20 16:00:00
LOUD,KaBuM! e-Sports,2021-02-27 16:00:00
LOUD,paiN Gaming,2021-02-14 20:00:00
LOUD,Rensga Esports,2021-02-13 16:00:00
paiN Gaming,Cruzeiro eSports,2021-02-20 18:00:00
paiN Gaming,Flamengo Esports,2021-03-06 20:00:00
paiN Gaming,INTZ,2021-02-13 18:00:00
paiN Gaming,RED Canids,2021-02-27 17:00:00
paiN Gaming,Rensga Esports,2021-03-13 20:00:00
RED Canids,Cruzeiro eSports,2021-02-21 19:00:00
RED Canids,Flamengo Esports,2021-02-28 19:00:00
RED Canids,KaBuM! e-Sports,2021-02-14 18:00:00
RED Canids,LOUD,2021-03-07 20:00:00
RED Canids,Vorax,2021-03-14 19:00:00
Rensga Esports,INTZ,2021-02-27 19:00:00
Rensga Esports,LOUD,2021-03-14 18:00:00
Rensga Esports,RED Canids,2021-03-06 17:00:00
Rensga Esports,Vorax,2021-02-20 19:00:00
Vorax,Cruzeiro eSports,2021-03-13 17:00:00
Vorax,Flamengo Esports,2021-02-14 17:00:00
Vorax,KaBuM! e-Sports,2021-03-06 19:00:00
Vorax,LOUD,2021-02-21 17:00:00
Vorax,paiN Gaming,2021-02-28 16:00:00
Vorax,RED Canids,2021-02-13 19:00:00
Bilibili Gaming,EDward Gaming,2021-02-23 09:00:00
Bilibili Gaming,FunPlus Phoenix,2021-03-26 11:00:00
Bilibili Gaming,Invictus Gaming,2021-03-02 09:00:00
Bilibili Gaming,Rogue Warriors,2021-03-13 07:00:00
EDward Gaming,eStar (Chinese Team),2021-03-19 09:00:00
EDward Gaming,LNG Esports,2021-03-11 11:00:00
EDward Gaming,Top Esports,2021-03-13 11:00:00
eStar (Chinese Team),JD Gaming,2021-03-05 09:00:00
eStar (Chinese Team),LGD Gaming,2021-03-12 09:00:00
eStar (Chinese Team),Rare Atom,2021-03-03 09:00:00
eStar (Chinese Team),Suning,2021-03-26 09:00:00
eStar (Chinese Team),Top Esports,2021-02-27 09:00:00
FunPlus Phoenix,JD Gaming,2021-03-01 11:00:00
FunPlus Phoenix,LGD Gaming,2021-03-09 09:00:00
FunPlus Phoenix,Rare Atom,2021-03-06 09:00:00
FunPlus Phoenix,Team WE,2021-02-22 11:00:00
FunPlus Phoenix,ThunderTalk Gaming,2021-03-12 11:00:00
Invictus Gaming,EDward Gaming,2021-02-26 11:00:00
Invictus Gaming,Top Esports,2021-03-07 11:00:00
Invictus Gaming,Victory Five,2021-03-22 11:00:00
JD Gaming,LGD Gaming,2021-03-21 11:00:00
JD Gaming,Oh My God,2021-03-23 11:00:00
JD Gaming,ThunderTalk Gaming,2021-02-26 09:00:00
LGD Gaming,Invictus Gaming,2021-03-25 11:00:00
LGD Gaming,Oh My God,2021-03-17 11:00:00
LGD Gaming,Rare Atom,2021-03-15 11:00:00
LGD Gaming,Rogue Warriors,2021-02-27 07:00:00
LGD Gaming,Royal Never Give Up,2021-03-28 09:00:00
LGD Gaming,Team WE,2021-03-03 11:00:00
LNG Esports,JD Gaming,2021-03-19 11:00:00
LNG Esports,LGD Gaming,2021-03-06 07:00:00
LNG Esports,Suning,2021-03-21 09:00:00
Oh My God,LNG Esports,2021-03-14 07:00:00
Oh My God,Top Esports,2021-03-04 09:00:00
Oh My God,Victory Five,2021-02-25 09:00:00
Rare Atom,EDward Gaming,2021-03-28 11:00:00
Rare Atom,Invictus Gaming,2021-03-13 09:00:00
Rare Atom,Oh My God,2021-02-28 09:00:00
Rare Atom,Royal Never Give Up,2021-03-22 09:00:00
Rare Atom,Victory Five,2021-03-10 11:00:00
Rogue Warriors,EDward Gaming,2021-03-01 09:00:00
Rogue Warriors,LNG Esports,2021-03-25 09:00:00
Rogue Warriors,Oh My God,2021-03-07 07:00:00
Rogue Warriors,Royal Never Give Up,2021-02-25 11:00:00
Royal Never Give Up,EDward Gaming,2021-03-06 11:00:00
Royal Never Give Up,eStar (Chinese Team),2021-03-08 11:00:00
Royal Never Give Up,FunPlus Phoenix,2021-02-27 11:00:00
Royal Never Give Up,JD Gaming,2021-03-14 11:00:00
Royal Never Give Up,LNG Esports,2021-03-04 11:00:00
Royal Never Give Up,Top Esports,2021-03-20 11:00:00
Suning,Bilibili Gaming,2021-03-23 09:00:00
Suning,Invictus Gaming,2021-02-28 11:00:00
Suning,JD Gaming,2021-02-22 09:00:00
Suning,Rogue Warriors,2021-03-10 09:00:00
Suning,Team WE,2021-03-14 09:00:00
Suning,ThunderTalk Gaming,2021-03-02 11:00:00
Team WE,Bilibili Gaming,2021-03-18 11:00:00
Team WE,EDward Gaming,2021-03-24 11:00:00
Team WE,eStar (Chinese Team),2021-02-24 11:00:00
Team WE,Oh My God,2021-03-11 09:00:00
ThunderTalk Gaming,Bilibili Gaming,2021-03-07 09:00:00
ThunderTalk Gaming,Invictus Gaming,2021-03-15 09:00:00
ThunderTalk Gaming,Oh My God,2021-03-27 09:00:00
ThunderTalk Gaming,Rare Atom,2021-02-24 09:00:00
ThunderTalk Gaming,Rogue Warriors,2021-03-18 09:00:00
Top Esports,Bilibili Gaming,2021-03-09 11:00:00
Top Esports,LNG Esports,2021-02-23 11:00:00
Top Esports,Team WE,2021-03-27 11:00:00
Top Esports,ThunderTalk Gaming,2021-03-24 09:00:00
Victory Five,FunPlus Phoenix,2021-03-20 09:00:00
Victory Five,JD Gaming,2021-03-08 09:00:00
Victory Five,LNG Esports,2021-02-28 07:00:00
Victory Five,Suning,2021-03-05 11:00:00
Victory Five,Top Esports,2021-03-17 09:00:00
Afreeca Freecs,DRX,2021-02-21 08:00:00
Afreeca Freecs,Gen.G,2021-02-18 11:00:00
Afreeca Freecs,Hanwha Life Esports,2021-03-11 11:00:00
Afreeca Freecs,KT Rolster,2021-02-26 11:00:00
Afreeca Freecs,Liiv SANDBOX,2021-03-26 11:00:00
Afreeca Freecs,Nongshim RedForce,2021-03-19 08:00:00
DRX,DWG KIA,2021-03-21 08:00:00
DRX,Fredit BRION,2021-03-07 08:00:00
DRX,Gen.G,2021-03-26 08:00:00
DRX,Hanwha Life Esports,2021-02-27 08:00:00
DRX,T1,2021-02-19 08:00:00
DWG KIA,Afreeca Freecs,2021-03-06 08:00:00
DWG KIA,KT Rolster,2021-03-27 08:00:00
DWG KIA,Liiv SANDBOX,2021-02-25 11:00:00
DWG KIA,Nongshim RedForce,2021-03-14 11:00:00
Fredit BRION,Afreeca Freecs,2021-03-13 11:00:00
Fredit BRION,DWG KIA,2021-03-11 08:00:00
Fredit BRION,Hanwha Life Esports,2021-03-25 08:00:00
Fredit BRION,Liiv SANDBOX,2021-02-17 11:00:00
Fredit BRION,T1,2021-03-04 11:00:00
Gen.G,Afreeca Freecs,2021-02-28 08:00:00
Gen.G,DWG KIA,2021-03-18 08:00:00
Gen.G,Fredit BRION,2021-02-26 08:00:00
Gen.G,Liiv SANDBOX,2021-03-05 11:00:00
Gen.G,T1,2021-03-13 08:00:00
Hanwha Life Esports,DWG KIA,2021-02-20 11:00:00
Hanwha Life Esports,Gen.G,2021-03-07 11:00:00
Hanwha Life Esports,KT Rolster,2021-03-18 11:00:00
Hanwha Life Esports,Nongshim RedForce,2021-03-05 08:00:00
Hanwha Life Esports,T1,2021-03-28 08:00:00
KT Rolster,DRX,2021-03-04 08:00:00
KT Rolster,DWG KIA,2021-02-17 08:00:00
KT Rolster,Fredit BRION,2021-02-19 11:00:00
KT Rolster,Gen.G,2021-03-20 11:00:00
KT Rolster,Liiv SANDBOX,2021-03-12 08:00:00
KT Rolster,Nongshim RedForce,2021-03-25 11:00:00
Liiv SANDBOX,DRX,2021-03-28 11:00:00
Liiv SANDBOX,Fredit BRION,2021-03-20 08:00:00
Liiv SANDBOX,Hanwha Life Esports,2021-03-14 08:00:00
Liiv SANDBOX,Nongshim RedForce,2021-02-28 11:00:00
Liiv SANDBOX,T1,2021-02-21 11:00:00
Nongshim RedForce,DRX,2021-03-12 11:00:00
Nongshim RedForce,Fredit BRION,2021-03-27 11:00:00
Nongshim RedForce,Gen.G,2021-02-20 08:00:00
Nongshim RedForce,Hanwha Life Esports,2021-02-18 08:00:00
Nongshim RedForce,T1,2021-02-25 08:00:00
T1,Afreeca Freecs,2021-03-21 11:00:00
T1,DRX,2021-03-19 11:00:00
T1,DWG KIA,2021-02-27 11:00:00
T1,KT Rolster,2021-03-06 11:00:00
